"구분","시군구","항목","단위","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월",
"서울","종로구","미분양현황","","41","41","46","46","46","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","55","51","51","47","44","44","40","40","35","31","28","27","25","24","21","19","16","8","90","69","52","47","32","28","20","15","14","11","6","1","1","1","1","1","1","211","201","151","116","71","53","44","33","15","5","5","5","5","5","5","5","5","5","5","5","5","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
"서울","강남구","미분양현황","","14","14","14","60","45","21","21","21","21","21","21","21","21","21","21","14","10","10","10","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","0","0","0","12","11","8","8","7","7","1","1","1","1","0","43","35","50","36","20","18","15","13","12","8","6","5","4","4","4","3","3","3","3","3","3","4","3","3","3","3","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","20","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
"서울","중구","미분양현황","","188","188","76","75","73","72","72","73","74","74","71","68","68","66","69","69","69","66","67","66","63","62","62","62","61","65","62","62","61","59","65","65","64","60","53","51","51","57","57","57","57","34","31","31","27","27","27","27","27","27","27","12","11","9","8","6","5","5","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","2","2",
"서울","강동구","미분양현황","","26","25","26","24","323","323","323","323","422","330","321","363","345","322","309","289","262","245","241","205","179","153","133","168","158","115","112","112","161","274","271","264","305","289","319","323","321","325","328","304","258","227","195","180","166","157","145","136","126","120","114","103","158","1019","1014","1003","988","934","782","726","653","448","112","51","44","39","25","16","24","12","3","3","3","3","3","9","7","5","4","3","3","1","0","0","36","36","30","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","15","14","13","13","13","137","137","136","134","123","116","105","91","71","58","56","52","50","50","50","50","50","48","48","48","47","47","47","47","47","46","46","46","46","46",
"서울","용산구","미분양현황","","0","0","0","0","104","104","104","104","104","582","598","598","260","260","260","151","151","142","142","142","93","93","114","84","84","84","140","140","140","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","95","95","86","86","54","51","51","51","233","217","207","198","186","169","160","153","120","84","61","41","24","10","9","9","9","8","8","7","7","6","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
"서울","강북구","미분양현황","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","65","75","74","73","74","71","71","68","68","68","68","68","65","64","64","63","63","63","63","62","62","62","62","62","62","62","62","62","48","48","48","48","47","47","42","18","12","9","3","3","3","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
"서울","성동구","미분양현황","","87","87","87","80","87","85","85","80","80","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","104","508","502","420","342","285","265","243","192","166","142","131","127","123","565","437","279","203","170","135","111","100","99","93","88","81","47","20","9","6","4","0","0","0","0","0","0","0","0","0","0","266","266","245","245","224","203","184","163","138","112","90","85","80","77","76","71","62","33","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","3","3","3","3","","3","3","3","3","3","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","강서구","미분양현황","","24","21","21","21","21","21","21","21","21","21","21","21","21","21","14","14","14","14","14","14","11","11","11","9","9","9","5","5","5","5","61","61","61","60","60","57","57","57","57","57","56","56","56","56","56","56","56","56","56","56","56","56","56","45","45","45","21","21","21","13","13","13","318","318","318","99","99","21","10","0","0","0","0","0","0","0","0","0","17","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
"서울","광진구","미분양현황","","4","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","19","19","19","19","19","19","19","19","19","19","26","26","20","20","20","16","15","15","10","8","8","7","6","6","6","5","3","16","13","12","8","7","5","5","1","0","0","16","6","3","0","0","0","0","28","22","18","14","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","721","244","110","3","18","14","20","10","7","7","5","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","5","5","5","5","5",
"서울","동대문구","미분양현황","","60","60","60","60","115","112","111","111","112","108","107","105","105","102","101","90","80","76","73","72","72","72","72","72","72","72","72","72","72","31","31","28","26","26","26","26","26","26","26","3","3","4","4","4","4","2","2","2","2","2","0","0","11","11","11","6","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96","64","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","75","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0",
